Charging Station ID,ds,y
Station_1,02-03-2024 01:00,28.05991713
Station_1,02-03-2024 02:00,28.05991713
Station_1,02-03-2024 03:00,18.70661142
Station_1,01-04-2024 16:00,17.10669802
Station_1,01-04-2024 17:00,15.96625149
Station_10,01-01-2024 17:00,7.406437452
Station_10,01-01-2024 18:00,7.406437452
Station_10,01-01-2024 19:00,7.406437452
Station_10,01-01-2024 20:00,1.604728115
Station_10,02-01-2024 08:00,31.46538319
Station_10,02-01-2024 09:00,15.7326916
Station_10,01-04-2024 23:00,0.062443815
Station_10,02-04-2024 00:00,0.062443815
Station_10,02-04-2024 01:00,0.062443815
Station_10,02-04-2024 02:00,0.062443815
Station_10,02-04-2024 03:00,0.062443815
Station_10,02-04-2024 04:00,0.062443815
Station_10,02-04-2024 05:00,0.062443815
Station_10,02-04-2024 06:00,0.062443815
Station_10,02-04-2024 07:00,0.062443815
Station_10,02-04-2024 08:00,0.062443815
Station_10,02-04-2024 09:00,0.062443815
Station_10,02-04-2024 10:00,0.062443815
Station_10,02-04-2024 11:00,0.062443815
Station_10,02-04-2024 12:00,0.062443815
Station_10,02-04-2024 13:00,0.062443815
Station_10,02-04-2024 14:00,0.062443815
Station_10,02-04-2024 15:00,0.062443815
Station_10,02-04-2024 16:00,0.062443815
Station_10,02-04-2024 17:00,0.062443815
Station_10,02-04-2024 18:00,0.062443815
Station_10,02-04-2024 19:00,0.062443815
Station_10,02-04-2024 20:00,0.062443815
Station_10,02-04-2024 21:00,0.062443815
Station_10,02-04-2024 22:00,0.062443815
Station_10,02-04-2024 23:00,0.062443815
Station_10,03-04-2024 00:00,0.062443815
Station_10,03-04-2024 01:00,0.062443815
Station_10,03-04-2024 02:00,0.062443815
Station_10,03-04-2024 03:00,0.062443815
Station_10,03-04-2024 04:00,0.062443815
Station_10,03-04-2024 05:00,0.062443815
Station_10,03-04-2024 06:00,0.062443815
Station_10,03-04-2024 07:00,0.062443815
Station_10,03-04-2024 08:00,0.062443815
Station_10,03-04-2024 09:00,0.062443815
Station_10,03-04-2024 10:00,0.062443815
Station_10,03-04-2024 11:00,0.062443815
Station_10,03-04-2024 12:00,0.062443815
Station_10,03-04-2024 13:00,0.062443815
Station_10,03-04-2024 14:00,0.062443815
